page,characters,lines,quotes_cap,tag_cap
https://www.google.com/,15918,19,218,334
https://www.youtube.com/,719497,30,22931,1595
https://www.facebook.com/,81692,30,3389,771
https://twitter.com/,93651,144,3857,322
